chr start end rho corr h2_1 h2_2 var p m
1 1103150 2320702 -3.558753474287215e-06 -0.49562636703224994 5.4422574113896565e-06 9.473444687568275e-06 1.2033686781834362e-09 0.9182895942213584 328
1 2321099 3065568 -2.5728272195742046e-05 -0.862299764683399 5.0373825543246794e-05 1.7672572606414212e-05 7.801233452794115e-10 0.3569736376228947 209
1 3066761 3679461 -1.9871973426868462e-05 -0.9413214597505737 3.6316286567751736e-05 1.2271697516224316e-05 8.173757440224743e-10 0.4870098490730246 241
1 3679775 4749076 -4.0217358790090945e-05 -1.541914476437386 3.395681806322817e-05 2.0034547214174166e-05 1.6464212702448695e-09 0.3216082450229707 577
1 4750013 5000086 -3.595042388961725e-06 NA 2.233210155272888e-05 -7.159210526108695e-06 4.604536858764196e-10 0.8669474448332434 164
1 5000970 5471517 1.176251343790644e-05 1.101693307517362 4.866548782474289e-06 2.342382213345537e-05 7.697478876619074e-10 0.6715942760118669 275
1 5472626 6133700 1.2894693241445264e-05 1.810243563240278 1.7519200888978327e-05 2.896234439126297e-06 8.872281494202167e-10 0.66508323931936 312
1 6134990 7245669 3.440003738402979e-05 1.2262214225960282 5.712285808377574e-05 1.3777489920189677e-05 1.1486552281855048e-09 0.31010802726660247 427
1 7245922 7604778 3.671245782400049e-05 1.137423250659419 5.2367250867735685e-05 1.9894037976486616e-05 4.992693816137619e-10 0.10037633444227076 181
1 7604831 9067142 -0.00015306341264565682 -0.9285179754479307 0.0002566063603555192 0.00010589970140757225 3.752377445638768e-09 0.012464165579352688 482
1 9067673 9959051 -2.1229045694508483e-05 -0.7952446610005114 0.00020686876901581904 3.4448037825233562e-06 9.152190570957912e-10 0.48284967589842576 297
1 9959748 11774956 5.072184271643854e-05 0.38697281934995775 0.002408787405618228 7.132317223471781e-06 6.2631958605102255e-09 0.521581178867247 548
1 11776196 12147753 -7.860827853093617e-06 -12.843570953562436 1.1957624644458756e-07 3.1327091535735444e-06 4.917213674534546e-10 0.722968787645061 187
1 12150385 14625524 -1.3940169864331584e-05 -0.13546941397178824 0.0001715135968628475 6.17383576967992e-05 1.905004269577745e-09 0.7494314761334285 672
1 14626896 15423481 2.4325424289589452e-06 0.30538179062025395 4.0582286379932215e-06 1.5635006363203975e-05 1.172429677275843e-09 0.9433640887848087 394
1 15424441 17123862 -1.8895874635631747e-05 -0.28545430773553515 0.0002527243522230504 1.7338587056887625e-05 1.9689054660930968e-09 0.6702186403499122 581
1 17176635 17872659 -1.4435944255137197e-05 NA 7.871527128650549e-05 -9.625517404409685e-06 8.12201111313364e-10 0.61247789452452 310
1 17874843 18484945 -2.1849472416520474e-05 -0.6030519767424813 4.572250046061733e-05 2.871061172769398e-05 9.916953101143794e-10 0.4877900778859656 307
1 18486272 20022063 -1.9548660531182817e-05 NA 0.00022818084926929855 -2.2690504852330156e-05 2.1811741654832315e-09 0.6755277875074631 757
1 20023833 20763899 2.254386052529975e-05 NA 8.861743677920628e-05 -5.328764466750631e-06 1.0061510772314978e-09 0.47725963616615963 337
1 20765245 22634131 0.00010464938111341931 0.9749164250309823 0.00048384433623675327 2.3814029779149106e-05 2.327761980344648e-09 0.03007971623820625 744
1 22636103 23082667 4.245981184198889e-06 0.5151953604199706 2.6853054255824577e-05 2.5294060591078658e-06 5.645052317797737e-10 0.8581669596966426 201
1 23085227 24527501 2.4245542156530935e-05 NA 7.890429114193419e-05 -2.2786827618839254e-06 1.2176464952191744e-09 0.48716913811814844 449
1 24528210 25305673 0.00010483218080177285 0.7017366792639893 0.0019369127062599943 1.1522078717165645e-05 3.7011863870617576e-09 0.08486064399724406 294
1 25305783 26976424 -4.264183622862649e-05 NA 0.0025943776841254374 -4.544746290751309e-06 5.307983767291947e-09 0.5583527369455168 588
1 26981479 28160199 -2.8119409812743626e-05 -0.8058078978660043 5.8499239609238094e-05 2.0816089286653505e-05 8.195645924462174e-10 0.32598497716400177 195
1 28168872 29181525 2.689725658116233e-05 0.6333414946611208 5.6409961742239485e-05 3.1973065784874435e-05 6.170339862241393e-10 0.27889145417258876 234
1 29184254 30792409 1.1318300733183542e-05 NA 0.00012142106500087636 -7.913453776021333e-06 1.8583584119659344e-09 0.7928953604664373 671
1 30792984 32042421 4.416443924883011e-06 NA -7.343660097286083e-07 4.157286659698467e-05 1.5535817889801904e-09 0.9107850304484237 586
1 32042540 34016219 7.696461164134393e-05 0.7790626109985438 0.00018368600048495232 5.313263842916505e-05 3.264940517296121e-09 0.17799436769416954 475
1 34017349 34797348 2.7673916589261316e-05 0.395766471484139 0.00019334774111150026 2.528856318774385e-05 1.1115154393212028e-09 0.40650119609016533 414
1 34798014 35364965 -1.1885104310927926e-05 -0.34894430293084044 1.921341207043634e-05 6.0379466852187936e-05 8.777619346461983e-10 0.6883043661332451 258
1 35366056 38196841 -2.2034871109844553e-05 -0.3047595032448756 0.00026393187202260947 1.9806816443714135e-05 2.7640231171894954e-09 0.6751275224264144 727
1 38459210 39535259 -1.3480527638907002e-05 -0.6261068176288971 5.783237006785394e-06 8.015782525683425e-05 1.133647974797719e-09 0.6888797705522862 398
1 39537291 40933221 -5.070936204019955e-05 -0.9086510238390695 0.00026913743045773865 1.1571987381603193e-05 1.1873203611631995e-09 0.14111573257467294 424
1 40934284 42166782 8.25979330127208e-05 0.44915589466112954 0.0011894726231871607 2.8430840610093422e-05 4.555717190249353e-09 0.2210485754196857 463
1 42168539 43365094 4.666220170004538e-05 0.8469699486007006 0.0001959771319291635 1.5487775788471853e-05 9.5062911533051e-10 0.13017282928728352 385
1 43365565 44482312 0.00021524752672421433 1.0089348272424963 0.00021864642215731973 0.00020816501278846312 2.8964013549008016e-09 6.34687969565721e-05 442
1 44483704 46895641 -1.3504751668398977e-06 -0.012127017217845126 0.00017896473367365798 6.929433931534228e-05 3.0673423823428126e-09 0.9805462871607449 741
1 46897698 47999344 5.836092842639313e-05 0.4829662859776566 0.0004524370569620039 3.227398441277189e-05 2.998103144419207e-09 0.2864883278533622 380
1 48000156 50640662 -0.00015805276397556139 -0.6800068690738068 0.0004586589779600471 0.00011778437767146574 6.21362692165943e-09 0.04495557940613541 770
1 50641944 53116453 1.1296970355983616e-05 0.059446528895494156 0.0020113627723692836 1.795479985982835e-05 7.855462672437249e-09 0.898575821519616 441
1 53117066 54197141 -2.167959543547665e-05 NA 0.0004547309842261289 -7.506621150902711e-06 1.5449752357803243e-09 0.5812518939475668 389
1 54197688 55012825 2.653590503889521e-05 0.9272175357344179 0.00014265707019342177 5.741313148045575e-06 8.023973956866349e-10 0.3488700271365054 280
1 55012881 55479198 8.639059565031525e-06 NA 5.2578940107154643e-05 -1.206648839573305e-06 6.403850625928222e-10 0.7328129156314435 233
1 55479967 56413577 -9.78001597433591e-06 NA -2.539372264054756e-05 -1.0325264070887255e-06 1.2327012567895978e-09 0.7805865053653941 467
1 56414730 57585670 -7.001962358528329e-06 NA -2.105142182509878e-05 1.3368448364436463e-05 1.5290031272280877e-09 0.8578850845464373 576
1 57585980 58535140 -1.2178455859004628e-06 NA -5.652511283614402e-05 6.459351329792232e-05 1.3537396256739103e-09 0.9735950456357777 527
1 58536417 59306823 -1.6883963297894537e-05 -0.2418314415350281 0.00010530005289713865 4.629079933939935e-05 1.15706027161036e-09 0.619640737429944 402
1 59307290 59736866 -2.045406565041242e-05 -0.4170631599585293 0.0002388910993930222 1.0068288770850796e-05 5.473040350411431e-10 0.3819495921150293 181
1 59739179 61257170 3.293126903762045e-05 0.5899605121649394 5.6495449452153135e-05 5.51515316431205e-05 1.449626273088669e-09 0.3870777785018087 522
1 61258378 62107806 3.934514760466634e-05 1.534790492310148 1.2735750550429598e-05 5.1601177658464555e-05 1.0482841502404082e-09 0.2242856504807892 363
1 62108681 63376404 9.04768168081017e-06 0.5538020900846007 0.00014194186773037283 1.8804202908235127e-06 1.3924862922020744e-09 0.8084229917546297 493
1 63379031 65008206 4.05546123263709e-05 NA 0.00013718160251390845 -7.1266928536664626e-06 2.0501020246195846e-09 0.3704240915682985 764
1 65010679 66773349 -0.0001198459921710801 -1.1761093181765627 5.4142763118116086e-05 0.00019178349678882425 1.7405917658517024e-09 0.0040711009309313505 677
1 66774350 67760291 3.2708728579081946e-05 1.5073931573818662 1.2723488106552101e-05 3.700565185999005e-05 1.3304708988195286e-09 0.36986380859210466 531
1 67761365 69441414 1.604566777003669e-05 0.5233163109179827 6.592556509197597e-05 1.4260448613866759e-05 1.8665973195316836e-09 0.7103456263711654 694
1 69441920 70486660 3.4321171063698185e-05 1.444787755818463 1.221618065166458e-05 4.619347609145428e-05 8.550633681808464e-10 0.24050888339038445 321
1 70490925 71818029 -2.2829669259199307e-05 NA -1.773729118808538e-05 1.802078359612827e-05 1.285129597937225e-09 0.5242330582577519 493
1 71822765 74326378 -2.22998151746772e-06 NA -8.747881928950133e-06 0.0002504133642574448 1.810653076914462e-09 0.9582049407469625 630
1 74326484 75992462 -4.592614986501429e-06 -0.09953629806243983 2.871266417693526e-05 7.414529831318485e-05 1.3128368641236745e-09 0.8991367254567121 542
1 75992778 76476360 -5.606352461554173e-06 NA 6.094527327712374e-06 -2.086166334599472e-06 4.429301678832609e-10 0.789941298857255 181
1 76477207 77139859 6.793728626347534e-07 0.020293596939985403 1.664220330325055e-05 6.734223195026072e-05 9.551778793405647e-10 0.982462359876506 358
1 77141039 79111862 7.103157557259373e-05 0.9075994676101574 5.662881150204578e-05 0.0001081625665933548 1.791888741323053e-09 0.09334410371572648 664
1 79113455 80341320 2.4915148574311326e-05 1.074780922302278 4.1272876487142516e-05 1.3020340052656438e-05 1.1978682696428797e-09 0.47160006416392763 469
1 80341732 81056946 1.178139467585572e-05 NA -1.2244381748786013e-05 2.0840755365528543e-05 5.972326002172252e-10 0.629744513641321 234
1 81058295 82883310 -1.2855970597286526e-05 -0.2060474415093882 9.81064714009478e-05 3.968054539490962e-05 2.186179918957541e-09 0.7833506658575691 814
1 82884721 83990906 3.439936663986681e-06 NA 3.127793776261181e-05 -2.685886133661325e-06 1.0926629606425812e-09 0.9171172626000014 421
1 83991748 84728665 8.698956438696011e-06 NA -1.5245472195762735e-05 2.979692137300585e-05 8.185931196063892e-10 0.7610961439397222 324
1 84729134 85940249 -4.3824978413794285e-05 -1.518535927858224 0.00010117348294689922 8.232402151489579e-06 1.5192152319487034e-09 0.26085301023742224 562
1 85940875 86549498 -3.7671547434458745e-05 -4.685763956825457 0.00016515783764393696 3.9135142285797893e-07 1.0962974381204997e-09 0.2552222446198462 263
1 86549569 87652502 -7.5438505888121155e-06 -0.18616998033108328 0.00019587428512768938 8.382806209713953e-06 1.280001776645189e-09 0.8329989462990486 399
1 87654606 89447978 -3.8098176695071714e-05 -0.1870319526737043 0.00043769725843024164 9.479882204114294e-05 2.4345788572324716e-09 0.44003549616001514 587
1 89451664 91866856 -1.681220456660074e-05 -0.2390478136015236 4.142176644794901e-05 0.00011941287762395313 2.2829714061134405e-09 0.7249405052058018 861
1 91867046 93351477 5.679563186885737e-05 0.8154957360173681 0.0001204445946166023 4.0271626255334044e-05 1.4346006898389214e-09 0.1337413302923243 540
1 93352491 94451007 -1.870278907594355e-05 -0.27774663148240314 0.00020568377428627842 2.204525456196349e-05 1.8610530825739602e-09 0.6646240920089423 315
1 94452062 95199048 -3.023545887688655e-05 NA 0.0001611443134716849 -2.754654555019703e-06 1.0136952132058068e-09 0.3422909084777679 377
1 95199771 96149941 1.0498563909155657e-05 0.30061957750581336 4.0780196361722305e-05 2.9907214101682398e-05 1.1006467563107891e-09 0.75166051881564 428
1 96150318 97457893 -7.383346951533826e-08 NA -3.6727201508000853e-05 9.085767885687555e-05 1.1690581755575447e-09 0.9982770410152382 461
1 97458722 98562260 -1.84908399791643e-05 -0.8593955949160154 1.3652005280262234e-05 3.391021835701327e-05 1.8840991182086034e-09 0.6701112997383935 504
1 98564736 100064599 6.067851430252839e-06 NA -1.244600508648675e-06 1.8717221549608578e-05 1.4294510205404582e-09 0.8724944224587041 547
1 100065413 101682573 -1.4468558085385664e-05 NA 3.0683187492314654e-05 -8.859531661434698e-06 1.5693623197260885e-09 0.7149414846493078 597
1 101683165 102039858 -2.658381203944342e-05 -1.0489936241088935 3.0665904661900166e-05 2.094271762260598e-05 5.775599325913486e-10 0.26865641372091487 212
1 102040268 102893372 -1.0651630467484077e-05 -0.5222162128499181 7.331244606649007e-05 5.67484195246943e-06 8.105459046712703e-10 0.7083045561543619 324
1 102894567 104369301 9.38298328448174e-06 1.7002179329447855 5.5815864210123995e-06 5.4565111470203865e-06 7.366356694415318e-10 0.7295590957397997 281
1 104373157 105192916 6.650272782819898e-07 NA -2.8268774686530834e-05 -6.246190014297871e-06 7.047408406343773e-10 0.9800142992983052 264
1 105193022 106641877 -5.63689446688386e-07 NA -3.047178151941773e-05 1.5827717697266952e-05 9.621030363705839e-10 0.9855007590078793 382
1 106642705 107432265 1.1563261684767249e-05 1.7589159199833648 3.6754346108942647e-06 1.1758768712156143e-05 7.109327394492978e-10 0.6645232234180436 280
1 107432576 109075191 0.000141476231568353 0.928604849418157 0.0005162732557589758 4.495991108285449e-05 2.5799669986522382e-09 0.005347353475662729 656
1 109075561 110301260 -2.03130180355452e-05 NA 5.008080392334134e-05 -1.0880133795386075e-05 1.2238622345360328e-09 0.5614819932545183 448
1 110302505 111738116 8.779744621580507e-06 0.27825839602431224 2.7866117741142073e-05 3.572652244290182e-05 1.716818851502534e-09 0.8321893557028668 643
1 111739749 112560278 -4.829015851354752e-05 NA -6.1074778738926305e-06 0.00011341693563235517 1.4570985604034866e-09 0.2058466436714982 542
1 112561693 114451307 1.845376581967591e-05 0.16335425547114035 0.000153717875483357 8.302038278731598e-05 1.7653229407112669e-09 0.6605088647754247 656
1 114451386 115878242 -1.2426865478639213e-05 NA 0.0001298082257629994 -5.929241318695296e-06 1.684353115714278e-09 0.7620480465740086 610
1 115879821 116884431 -2.9337485247104306e-05 -1.1883492582185569 3.8505653272693954e-05 1.582825629001695e-05 1.0187382674509587e-09 0.3580113832289804 382
1 116884519 118837474 -8.50541559897555e-05 -0.2817474168721943 0.0017681457456459188 5.154103462315597e-05 1.9366441314718724e-09 0.053269774997445674 628
1 118837888 119792751 -1.6144172859892873e-05 NA 0.0031876160965080644 -6.21582496300521e-06 5.3339355160307405e-09 0.8250529468590162 359
1 119793605 120347239 -1.6630389309514806e-05 NA 0.00028793381225016473 -7.2846268480162364e-06 8.625974462265756e-10 0.5712326031500863 216
1 144998563 147347713 1.2663134557687406e-05 1.571719474367315 3.961762279337064e-05 1.6384906296781272e-06 1.2462881961898894e-09 0.7198191550708481 472
1 147348339 151830844 1.7230177608429096e-05 0.3077300729201805 0.00020651637270868026 1.5180467292718542e-05 2.307181444040824e-09 0.7198087127166586 576
1 151832901 152535021 2.4074984101617643e-05 NA 0.00048126042542233783 -3.4675881196498787e-06 2.7998304375672524e-09 0.649117720344834 213
1 152535586 153163377 -1.6590006378920843e-06 NA -2.867839359234668e-06 -1.7512414175965901e-06 6.962538750753904e-10 0.9498678015190051 271
1 153165450 154544651 4.411415738930647e-05 0.1974441166596439 0.0008978695251011304 5.559738313243315e-05 1.5663985198767572e-09 0.2650132688252439 482
1 154547292 156334116 7.25847924454647e-05 1.0592003705305302 7.916471278954465e-05 5.932030701852877e-05 1.6617113828497197e-09 0.07497683258175696 525
1 156335111 157154186 8.26860231098528e-06 0.31607213815696067 8.133895428017628e-05 8.413819589854824e-06 8.077100829130354e-10 0.771096738072844 297
1 157154324 158867538 -5.565052062871132e-06 NA -4.397084179647954e-05 1.053444440633033e-06 2.146922174435003e-09 0.9043999731100553 801
1 158870085 160648549 -1.5349093338451953e-05 NA 0.00021293989474151017 -4.4340211704167035e-06 1.9934526652888843e-09 0.7310122447273208 712
1 160649926 161973976 -6.042889325937729e-06 NA 1.1007183691187733e-05 -8.500088490240126e-06 1.3344380635723584e-09 0.8686111904652883 497
1 161974584 162995355 5.0537447376810084e-05 0.6222246059384363 9.96439934968801e-05 6.620352543349439e-05 1.4406491241545074e-09 0.1830315802218565 542
1 163000394 164410254 -2.1651630356550964e-05 -0.10283643815312773 0.0005704029208018259 7.77151009468983e-05 1.7675231882385748e-09 0.6065523446484644 652
1 164412847 165190876 -2.4641231090561353e-05 -0.3315381706470145 0.0005171750565680688 1.0681202753908894e-05 3.0210927025630295e-09 0.6539280325408118 404
1 165191702 166363258 9.274649683075234e-06 0.41080527197580863 6.414721068753573e-05 7.945939167715772e-06 1.558432525142515e-09 0.8142567520349187 585
1 166364063 167158927 1.3243353177859943e-05 NA -5.348231460564935e-06 7.007126063070124e-06 1.232512018205521e-09 0.7060051685874729 474
1 167159608 168168773 -2.110508350556394e-05 -0.7047197014590734 3.180431459497556e-05 2.8200400944978967e-05 1.2147117288931803e-09 0.5448131926138348 431
1 168169452 169077127 -1.3513931946751369e-05 -0.8653812937371913 1.5384648902196405e-05 1.585115305017959e-05 1.2841859066111817e-09 0.7060920348984017 472
1 169078572 169521853 4.6109812036177954e-06 NA -5.254218156510108e-06 9.460987686917725e-07 5.055012197601905e-10 0.8375063240542012 186
1 169522554 170372503 -5.2916589698136614e-05 -0.27262270590649107 0.0018906332529382178 1.99274787591974e-05 2.1863664797397535e-09 0.2577616210327206 433
1 170375663 170914261 -3.7467553670346847e-05 NA 0.0026139541114568194 -6.416614335026865e-06 1.618057442979745e-09 0.35162214207572096 175
1 170915133 172647523 -2.8931704104320128e-05 -0.2846061682949194 0.00027010460579806456 3.8258454574056306e-05 3.3013162838580873e-09 0.6145875398222387 827
1 172648956 175384090 -5.454579088215663e-05 -0.9596863267205232 4.764930291173048e-05 6.779650726258785e-05 2.7112030331061384e-09 0.2948399123408266 878
1 175385076 176416712 5.728450871984509e-06 0.25925623846130047 7.48788205811862e-05 6.520140576783826e-06 8.898511865170556e-10 0.8477154437819234 347
