chr start end rho corr h2_1 h2_2 var p m
1 1103150 2320702 -5.781017932219538e-06 -0.5398960424376402 5.3171029355620695e-06 2.1563203275152783e-05 1.3148499689204442e-09 0.8733312121933896 329
1 2321099 3065568 8.737235352946887e-06 0.31086491179307385 4.961966284368846e-05 1.5920285445024778e-05 1.056787226320512e-09 0.7881069352452499 210
1 3066761 3679461 3.069116002795482e-05 1.5924837387797672 3.49629889427951e-05 1.0623510264021044e-05 1.1596726667646393e-09 0.36745506382331405 243
1 3679775 4749076 6.554305124551636e-06 0.12121140746297084 3.6368986405920915e-05 8.039612650812328e-05 2.421219432652573e-09 0.894033911946999 580
1 4750013 5000086 -4.837104238067831e-06 -0.24631863615669153 2.2262521023202343e-05 1.7322158482681484e-05 6.646202775902821e-10 0.8511679353835105 164
1 5000970 5471517 -9.888832932998792e-06 -0.6649146066135756 4.864101689138447e-06 4.547321777248846e-05 1.1249513151829466e-09 0.7681203749975829 275
1 5472626 6133700 5.073005137016859e-07 NA 1.8014878486488764e-05 -9.233241207152326e-06 1.3228706207522011e-09 0.98887160335555 315
1 6134990 7245669 -5.339031302636853e-05 -1.2378979199090423 5.8363667455690974e-05 3.187224782375959e-05 1.687768357812848e-09 0.19374185111116216 429
1 7245922 7604778 -6.340962640755161e-06 -0.22075700717035557 5.2384979620517794e-05 1.574978444456176e-05 7.593177622704886e-10 0.8180030327228487 181
1 7604831 9067142 0.00014751205480750929 0.5967063679924183 0.0002567807925924267 0.0002379968149618377 6.424467906829419e-09 0.06571158128302412 482
1 9067673 9959051 1.1381542815267717e-05 0.38993671322278955 0.00020523860336839578 4.151021367050409e-06 1.4554121418019702e-09 0.7654454319508416 298
1 9959748 11774956 -1.9344918999324532e-05 -0.07809223216873416 0.0024085699946170087 2.5477621767330903e-05 9.628466991101072e-09 0.8437131545172858 549
1 11776196 12147753 -9.989578581371233e-06 NA 1.1961648299672546e-07 -1.3215608555896342e-05 7.177711682298659e-10 0.7092472969291911 187
1 12150385 14625524 3.030903675686509e-05 0.9466873566880301 0.00016999585406193488 6.029659460754056e-06 2.7960867420973747e-09 0.5665176545727266 673
1 14626896 15423481 1.0301372215627224e-05 NA 3.518433698638163e-06 -1.487916266918903e-05 1.6972425859003407e-09 0.8025503470024753 395
1 15424441 17123862 -1.2536891106709412e-06 -0.019543208594122854 0.0002512630358488799 1.6377943539120983e-05 2.2798025731634782e-09 0.9790525387369025 583
1 17176635 17872659 -8.27556816265756e-06 NA 7.83847480811355e-05 -1.1263643979534153e-06 1.1924636054786854e-09 0.810602532149045 311
1 17874843 18484945 1.017520609498959e-05 0.27717783719407074 4.828903989370814e-05 2.790749495844899e-05 1.231528964021766e-09 0.7718556200731876 310
1 18486272 20022063 -0.0001141155903257696 -0.6644871332208779 0.00022841922429021406 0.00012911721748266994 3.1980752752106733e-09 0.04360119306365651 757
1 20023833 20763899 -6.018267537173873e-05 -1.3675626931424254 8.768787919867558e-05 2.2085585850700125e-05 1.4683051147745911e-09 0.1162774887091578 341
1 20765245 22634131 4.687633026135518e-05 0.41247037957774396 0.0004838285918317611 2.669501373453299e-05 4.623822944286979e-09 0.49058983052446314 745
1 22636103 23082667 2.2389738831580763e-05 1.4599940205345663 2.7139342891749234e-05 8.665558790985515e-06 8.242026550170593e-10 0.4354570295032233 202
1 23085227 24527501 -6.217381189622507e-06 NA 7.810584477918402e-05 -1.249900863777994e-05 1.7863568575183857e-09 0.8830502262098254 450
1 24528210 25305673 0.0001392669237854321 1.8606716892462585 0.0019422191756706146 2.8844182077088937e-06 3.6934727676536706e-09 0.021931259470105224 295
1 25305783 26976424 0.0001447099886266662 0.3678266227362787 0.002594296750332691 5.966107135719282e-05 1.5063490143840837e-08 0.23837450163146645 588
1 26981479 28160199 2.959846516144007e-05 0.9954478620777639 5.850507683076702e-05 1.5111507530090073e-05 7.751392928884694e-10 0.2877308361587023 196
1 28168872 29181525 -2.3668321540463815e-05 -0.749853430067863 5.696098166854529e-05 1.7490599327232777e-05 9.229138560304425e-10 0.4359274955134269 236
1 29184254 30792409 -3.7895207943399766e-05 -0.32719063832306433 0.00012217868102703348 0.00010979218258303836 2.7039870736683796e-09 0.466151089353092 672
1 30792984 32042421 1.551117252038706e-05 NA -9.04170267992233e-07 6.236880523539667e-06 2.288905855874076e-09 0.7457766459481519 587
1 32042540 34016219 -0.00010221105399587884 -0.5400660588678124 0.00018240639980351674 0.0001963640103368468 2.9293171258785877e-09 0.05896020968306865 477
1 34017349 34797348 2.6992114366069985e-05 NA 0.00019639539934051642 -1.564836403505518e-05 1.6371927582016937e-09 0.5047121283760458 416
1 34798014 35364965 3.709224236153743e-05 0.7253109320019537 2.009505574501258e-05 0.00013014530807700943 1.059561308772184e-09 0.2544884189636506 260
1 35366056 38196841 5.614164440911717e-05 0.4344412834520641 0.00026488502305055097 6.304500431133282e-05 2.812267533743572e-09 0.2897543084551115 732
1 38459210 39535259 -3.816089290349891e-05 -3.432626174189023 5.147638953618955e-06 2.400910427495708e-05 1.6442247431321073e-09 0.3466512117790519 398
1 39537291 40933221 -0.00013821714521718102 -0.7884607483367809 0.0002687877828218324 0.00011432840816073227 3.3375382753140026e-09 0.016734820754924617 423
1 40934284 42166782 3.745166135625057e-05 0.1069030343225776 0.001182650279764821 0.00010377811356176804 5.891026768014582e-09 0.6255850445687915 466
