chr start end rho corr h2_1 h2_2 var p m
1 1103150 2320702 1.7893588090311074e-05 4.155906995077646 8.177887801636582e-06 2.266846347923122e-06 1.473029244518748e-09 0.6410573810542222 288
1 2321099 3065568 -1.2071137680794549e-05 -0.46423537975402535 5.209673023466997e-05 1.2978050801389823e-05 7.118312515806925e-10 0.6509530235763833 184
1 3066761 3679461 -1.1867509067197825e-05 NA 9.881776891085647e-06 -7.932987120714685e-06 1.0309550750400134e-09 0.7116756428633237 211
1 3679775 4749076 2.0550574818088745e-05 NA 2.7143021914871337e-05 -3.6475508492623204e-05 2.170389996422865e-09 0.6591273489332017 547
1 4750013 5000086 7.34230235433677e-06 NA 2.0532725619778442e-05 -1.5452640979039876e-05 6.195880088738611e-10 0.7680152849841652 156
1 5000970 5471517 -1.8230506629696068e-05 NA 6.057836345816499e-06 -6.032258840325239e-07 1.0437093084686626e-09 0.5725509457647593 263
1 5472626 6133700 -8.789803670210949e-06 -0.656769310342589 1.8044685014140415e-05 9.926207337722101e-06 1.1698956160289114e-09 0.7971913377377509 301
1 6134990 7245669 1.402513274187239e-05 NA 5.7582042297213216e-05 -1.0004090900571695e-05 1.4090303102083916e-09 0.7086763637410143 409
1 7245922 7604778 -3.683036368574227e-05 -1.5603573493738434 5.3816800884166475e-05 1.035251802390514e-05 6.60920424219985e-10 0.15196607523456881 174
1 7604831 9067142 -7.268650953406995e-05 -0.7962812241383704 0.0002555541104356022 3.260557074946721e-05 1.8201867324041696e-09 0.08843515473589171 470
1 9067673 9959051 1.2498227531856445e-05 NA 0.00021044090688105799 -2.146117294370492e-05 1.3038566731529709e-09 0.7292484579745366 289
1 9959748 11774956 9.85227047235474e-05 0.4564236864477735 0.0023953238352041025 1.9452349640682044e-05 1.208460087448912e-08 0.3701291724793736 526
1 11776196 12147753 6.2202403278264285e-06 NA 1.1477697874102954e-06 -2.4951854823467164e-07 6.008824580439577e-10 0.7996858365681955 177
1 12150385 14625524 2.4202525687902144e-05 NA 0.0001753586964444651 -1.7987214869468812e-06 2.4582824695580994e-09 0.6254503609388609 626
1 14626896 15423481 -2.4600457888993477e-05 -4.107090530350722 5.145996040379074e-06 6.971855575648397e-06 1.5388126937934796e-09 0.5305809006008428 371
1 15424441 17123862 1.7818363988989758e-05 0.29566696044048 0.0002507559476416151 1.4483676519657157e-05 1.925311130413472e-09 0.6846798597339359 565
1 17176635 17872659 -1.197814158104358e-05 NA 7.363874929923728e-05 -3.4991466773462386e-06 9.940973136613869e-10 0.7040159469665623 299
1 17874843 18484945 -6.474461786996894e-06 NA 4.0938327069833375e-05 -6.2410814511392005e-06 1.1357275598821386e-09 0.8476502839769275 293
1 18486272 20022063 2.610938186990087e-05 NA 0.00022418318489964145 -1.4403375251497904e-06 2.795375442998508e-09 0.6214270090032363 723
1 20023833 20763899 -2.1172978043883725e-05 NA 8.36647060304306e-05 -1.679555205598748e-05 1.342730858143483e-09 0.5633902394854735 321
1 20765245 22634131 -9.620994060825827e-06 NA 0.0005081488313979892 -5.53861200546955e-06 2.7066828981846013e-09 0.8532859817534355 711
1 22636103 23082667 2.8029586621551623e-05 NA 2.502806710928629e-05 -6.005606827623111e-07 7.448167076600261e-10 0.30439647440464646 191
1 23085227 24527501 2.800476582885019e-05 NA 8.028314475378507e-05 -4.978532059936961e-06 1.5085329950309733e-09 0.47088982747788766 441
1 24528210 25305673 -3.666618781266803e-05 NA 0.0019705714863157927 -2.323016848022588e-05 2.568413446644676e-09 0.4693781196108423 285
1 25305783 26976424 -6.146976402096103e-05 NA 0.0022448408155350493 -8.94980179661697e-06 7.777503129108442e-09 0.4857940852812278 568
1 26981479 28160199 2.8381659271454697e-05 2.127497527931289 6.176242566502911e-05 2.8814632927480996e-06 8.134598163431059e-10 0.3196842838488575 184
1 28168872 29181525 -2.91218894914006e-05 -0.9654655738576117 5.692824377714827e-05 1.59822429385894e-05 7.057136970462068e-10 0.27297416593697876 230
1 29184254 30792409 -4.211831827584007e-06 NA 0.00012248457069030246 -2.4404922948973238e-05 2.3381198700351567e-09 0.9305889198121573 653
1 30792984 32042421 -1.2040071801257727e-05 -1.9315147151877512 9.92232985038372e-07 3.916052009755247e-05 1.732638529027367e-09 0.7723891924766293 555
1 32042540 34016219 -5.439440904367399e-05 NA 0.0001811159767055285 -9.840398541816054e-06 1.585373435551711e-09 0.17190167208034257 465
1 34017349 34797348 6.855443441497873e-05 1.1087500125419316 0.00019320738311600312 1.9787007145377167e-05 1.4460475500427675e-09 0.071421772043691 402
1 34798014 35364965 -2.27209361468028e-05 -1.24500387562253 2.1257196954792678e-05 1.5667692495227798e-05 9.87070396088908e-10 0.4695634220105316 247
1 35366056 38196841 2.2728805780272638e-05 0.2844004457908184 0.00026357592571293735 2.423187103932799e-05 2.351626911346826e-09 0.6392860517747505 699
1 38459210 39535259 5.0202521986949316e-05 10.57645966672452 4.008741623616619e-07 5.620337161336144e-05 1.5194044757905282e-09 0.1977738674429813 383
1 39537291 40933221 8.739931438950025e-05 0.700623064672597 0.00026715858294733063 5.8247603234983775e-05 2.0270610498582983e-09 0.05223167717734688 412
1 40934284 42166782 4.181648744932417e-05 NA 0.0012043526831785373 -1.1716191603986162e-05 2.9243109250308618e-09 0.4393577446400142 442
1 42168539 43365094 1.243943350976918e-05 0.20517020356670826 0.0001900939502356264 1.9337678335402214e-05 1.1498509097039655e-09 0.7137363829109424 376
1 43365565 44482312 -9.057810238040096e-05 -1.000820371641336 0.00021729530007593017 3.769500708335569e-05 1.3051173747198099e-09 0.012167304506772331 428
1 44483704 46895641 5.773627821151793e-05 0.5798194194387258 0.00017979245899780292 5.514937363823709e-05 2.4899870519594224e-09 0.24725398573941193 725
1 46897698 47999344 -1.5502208210962765e-05 -0.26631201441578134 0.00045552794079982385 7.4385894767487625e-06 6.004933432376958e-09 0.8414411487843835 367
1 48000156 50640662 0.00010375698053206022 1.03186856309329 0.00045797608134878277 2.207715413609425e-05 2.7434336188414015e-09 0.047598629309816336 754
1 50641944 53116453 7.939794076803712e-05 0.44475385027493686 0.001999906481617922 1.5935634376968544e-05 3.542559515286875e-09 0.18220905928259945 426
1 53117066 54197141 2.6068978968309587e-05 0.709364437451433 0.00044695245180894635 3.0216759986841483e-06 2.476063377062936e-09 0.6003525042253315 376
1 54197688 55012825 -2.690075973301235e-05 NA 0.0001251916625911489 -1.3779284867311085e-05 1.0303651852327244e-09 0.4020036769342733 267
1 55012881 55479198 3.2567048711397525e-06 0.14734185349458315 5.1740473237733786e-05 9.44222083062686e-06 8.308451355276676e-10 0.9100429478922887 226
1 55479967 56413577 8.872066173761016e-06 NA -2.5371179293223387e-05 -9.540906148421148e-06 1.5635442212921735e-09 0.8224674424885735 458
1 56414730 57585670 -4.564107501737895e-06 NA -1.925553741717347e-05 -4.845957361057906e-06 1.9438791886322896e-09 0.9175508508716144 562
1 57585980 58535140 -6.281105408259972e-06 NA -5.7173043562277486e-05 -1.926959389357409e-05 1.6552765051301326e-09 0.8773073841310172 512
1 58536417 59306823 -5.211495547923576e-05 -1.6534025831243309 0.00010799679955551257 9.199339211070323e-06 1.370743857067033e-09 0.1592447857152841 394
1 59307290 59736866 -4.489595273863424e-05 NA 0.0002389901918286725 -8.126481942139784e-06 6.337957663703987e-10 0.07453205974827037 175
1 59739179 61257170 -4.3027430020853656e-05 -2.825535656601589 5.658505835634387e-05 4.098146329318508e-06 1.7218890109278757e-09 0.29977583680682585 507
1 61258378 62107806 -2.8308406487011173e-05 NA 1.14100064235727e-05 -4.083799081790192e-06 1.4498340398044884e-09 0.45720460836612564 349
1 62108681 63376404 -7.04728325670035e-05 -0.9734648751405133 0.00014099461505131963 3.7170667304246804e-05 1.6596669589927602e-09 0.08365507979776891 475
1 63379031 65008206 7.735116098069534e-05 1.6792070809471409 0.00014018868088735685 1.5136038018315769e-05 2.6635198272786517e-09 0.13392983675451198 749
1 65010679 66773349 2.4648764212766035e-05 0.36080104822085357 5.4480958080154376e-05 8.56662947876606e-05 2.19271418645817e-09 0.5986202032691091 661
1 66774350 67760291 1.0896165978534213e-05 NA 1.2805078804485403e-05 -5.982621600985313e-06 1.6319991021914617e-09 0.7873753854862923 518
1 67761365 69441414 -2.526662324662353e-05 NA 6.124617965728557e-05 -2.0143645789145548e-05 2.404818774076784e-09 0.606388258164025 664
1 69441920 70486660 -1.098461948022581e-05 -6.610649285711623 1.2062766339316279e-05 2.2889425069499378e-07 1.078047489206421e-09 0.7379616403709062 315
1 70490925 71818029 -8.607197616701124e-06 NA -1.7164213491223632e-05 3.1831745156374864e-05 1.6248518094469512e-09 0.8309151277536193 483
1 71822765 74326378 1.362394515147888e-05 NA -8.624096448340804e-06 2.1733193281141197e-05 1.8952264844709066e-09 0.7543200881690129 621
1 74326484 75992462 -3.0157694969282997e-06 -0.09054288566627901 2.8996327472591404e-05 3.8259970362249545e-05 1.6172260313272989e-09 0.9402213729217709 534
1 75992778 76476360 -1.4183996997847134e-05 -1.1501424024967635 6.5117241619146886e-06 2.3355976842492003e-05 5.259178304686401e-10 0.5362458174017509 178
1 76477207 77139859 1.6116719781558547e-05 0.5082657879698891 1.7594708218850143e-05 5.714648007901645e-05 1.2811157607604864e-09 0.652508699831144 353
