chr start end rho corr h2_1 h2_2 var p m
1 1103150 2320702 1.8689000653206493e-05 2.9335000861389626 5.3171029355620695e-06 7.633520561830332e-06 1.0282106462495082e-09 0.5600049165910832 329
1 2321099 3065568 -3.1791980326565166e-05 -1.4297749056260136 4.961966284368846e-05 9.964282051481622e-06 6.80297693239801e-10 0.22288214458045952 210
1 3066761 3679461 3.955474056680414e-05 NA 3.49629889427951e-05 -2.486578017417735e-06 1.0047681559753502e-09 0.21208259924265205 243
1 3679775 4749076 -3.105726212286174e-05 -0.6532913849438354 3.6368986405920915e-05 6.214143460855448e-05 1.986714784513787e-09 0.4859407561908683 580
1 4750013 5000086 6.491862843221532e-06 NA 2.2262521023202343e-05 -1.1967106689593392e-05 5.508434296564572e-10 0.7820857616438344 164
1 5000970 5471517 -2.6943678697032684e-06 -0.16857094444694373 4.864101689138447e-06 5.2522537037422056e-05 9.261202931558031e-10 0.9294501391591763 275
1 5472626 6133700 3.777325500921733e-06 0.5090999004524067 1.8014878486488764e-05 3.0558459704984807e-06 1.0640696052950498e-09 0.9078129878776522 315
1 6134990 7245669 -4.7402213979178964e-05 NA 5.8363667455690974e-05 -8.896025653617628e-06 1.299389487294617e-09 0.18850664692805574 429
1 7245922 7604778 -6.4903768611175355e-06 NA 5.2384979620517794e-05 -1.682356910650336e-05 5.839483270442001e-10 0.7882486039263857 181
1 7604831 9067142 -0.0001745931574758527 -0.8467839130569784 0.0002567807925924267 0.0001655566788369855 3.739592680037413e-09 0.004302885128450218 482
1 9067673 9959051 -1.4784719057569083e-05 NA 0.00020523860336839578 -3.004098236635384e-05 1.1059844433853176e-09 0.6566317046921102 298
1 9959748 11774956 -7.275956339152599e-05 -0.7005361301905646 0.0024085699946170087 4.4787809159578525e-06 9.45454105844219e-09 0.4542853414295195 549
1 11776196 12147753 3.461275615541831e-07 NA 1.1961648299672546e-07 -1.1071736780378664e-06 5.497425017552789e-10 0.9882217487823958 187
1 12150385 14625524 6.971538130389822e-05 1.0738869264053392 0.00016999585406193488 2.4791441172204963e-05 2.2694268227467124e-09 0.14335108023756796 673
1 14626896 15423481 5.779610657313301e-06 1.7474129056714611 3.518433698638163e-06 3.1092576892771443e-06 1.4124217012256828e-09 0.8777785869918278 395
1 15424441 17123862 3.936026945467499e-05 0.6002689013143058 0.0002512630358488799 1.711180548820902e-05 1.6902410622460153e-09 0.3383761699978879 583
1 17176635 17872659 3.605613849568644e-05 1.232522376343906 7.83847480811355e-05 1.0917852793274956e-05 1.0190793772950426e-09 0.25869906247522245 311
1 17874843 18484945 1.6012511551084667e-05 0.8859121430925254 4.828903989370814e-05 6.7653307297517e-06 1.4485824655967973e-09 0.6739633143503794 310
1 18486272 20022063 -1.786513088610776e-05 -0.2596257613617821 0.00022841922429021406 2.072927848628359e-05 2.545497800829257e-09 0.723267661638141 757
1 20023833 20763899 1.3814757772817792e-05 0.2500039712720258 8.768787919867558e-05 3.4821956411827865e-05 1.2314765711784989e-09 0.6938261137879376 341
1 20765245 22634131 2.755042388891456e-05 0.2595208725896924 0.0004838285918317611 2.3292733381512566e-05 3.6489299094442657e-09 0.6483290559240374 745
1 22636103 23082667 -3.657296521075583e-05 -1.376195566679038 2.7139342891749234e-05 2.6023200550926412e-05 6.690010104329165e-10 0.15736441040683258 202
1 23085227 24527501 -7.85733466761181e-06 -0.21285490057024928 7.810584477918402e-05 1.744615240609106e-05 1.3603699584994095e-09 0.8313012798416118 450
