chr start end rho corr h2_1 h2_2 var p m
1 1103150 2320702 -2.544177920820011e-05 -3.284659301301961 5.3171029355620695e-06 1.1283380452320713e-05 1.7238653764339723e-09 0.5400300060101979 329
1 2321099 3065568 -1.624159627591575e-05 -0.9663234904877391 4.961966284368846e-05 5.693227503433988e-06 1.1412197566360402e-09 0.6306746940944421 210
1 3066761 3679461 2.0411202770448857e-05 1.0095494454208869 3.49629889427951e-05 1.1691586639546794e-05 1.6312266534610409e-09 0.6132973635571577 243
1 3679775 4749076 -1.433180284802486e-05 -1.1884681258887584 3.63481067328443e-05 4.000780995525043e-06 3.2783210271677643e-09 0.8023490118196255 580
1 4750013 5000086 1.6346132365968939e-06 NA 2.1999591601578666e-05 -2.254875882623862e-05 9.203490550781382e-10 0.9570296701649285 165
1 5000970 5471517 2.503669642549533e-05 1.6229014042876235 4.864350795744552e-06 4.892658323018889e-05 1.5219025954485883e-09 0.5210185171863906 275
1 5472626 6133700 1.8627943421211246e-05 NA 1.801202894809626e-05 -2.3838541329196344e-05 1.7691661454872374e-09 0.6578565680525448 315
1 6134990 7245669 5.639581460031763e-05 0.8719860074690956 5.836354991417144e-05 7.166927590458544e-05 2.1876215087031366e-09 0.22791013984689223 429
1 7245922 7604778 -2.1138892283562046e-05 -0.4805945249078988 5.2381345353658416e-05 3.69343248956785e-05 1.1492653574871838e-09 0.532922416240221 181
1 7604831 9067142 -3.494341516233725e-05 -0.22413686439739294 0.00025678033856320586 9.465473523814662e-05 5.779820887989301e-09 0.6457819809347989 482
1 9067673 9959051 2.8712345395162238e-05 0.4597381350703508 0.00020745858006040253 1.8801170106765386e-05 3.197720664364356e-09 0.611629928456766 299
1 9959748 11774956 -9.846921863811974e-05 -0.5780349097361211 0.0024079558192344336 1.2051589584627363e-05 1.4559814518216555e-08 0.4144653047218031 549
1 11776196 12147753 -1.539985547020792e-05 NA 1.1955760151055281e-07 -6.295273455404498e-06 9.273625079790953e-10 0.6130681477102089 187
1 12150385 14625524 8.488687030332458e-05 0.8670356511050413 0.0001706771466469262 5.616060262263586e-05 3.788764425477826e-09 0.16786787690647786 674
1 14626896 15423481 -1.7555659408849112e-05 -1.3078413286349386 3.5188883551166154e-06 5.120574519657179e-05 2.3202402383308034e-09 0.7155140376901288 395
1 15424441 17123862 -1.8522137983304471e-06 -0.13118327455785597 0.0002512698495010651 7.933867001199597e-07 2.8844301753816448e-09 0.9724884488175016 583
1 17176635 17872659 2.3411422153662864e-05 NA 7.84086052149935e-05 -3.575202713196716e-07 1.5415097747576467e-09 0.5509841436057924 311
1 17874843 18484945 -5.604096134507382e-05 -0.9386548275049825 4.8295465520397496e-05 7.380621953470948e-05 1.6703729954064715e-09 0.17031454479631203 310
